   4.3221827751334866e+04	   2.6994148035845853e+02	  -4.0263348346827050e+04	  -1.5299286836534529e+04	   1.7370238851434856e+01	   1.1087980257921809e+02	   3.1002986452115670e+03	
   4.3221811059100393e+04	   2.7120274114422472e+02	  -4.0258545806656140e+04	  -1.5311687327051730e+04	   1.7370168247199882e+01	   1.1087980940459742e+02	   3.1002950007362633e+03	
   4.3221791531335657e+04	   2.7280713556316709e+02	  -4.0252914856945339e+04	  -1.5326224071694582e+04	   1.7370097642653356e+01	   1.1087981622444732e+02	   3.1002953302162214e+03	
   4.3221768003062869e+04	   2.7501498943699539e+02	  -4.0247231622144413e+04	  -1.5340875496487151e+04	   1.7370027038127425e+01	   1.1087982303958660e+02	   3.1002976551634315e+03	
   4.3221741057568317e+04	   2.7809414048808623e+02	  -4.0242007740740512e+04	  -1.5354314373043000e+04	   1.7369956434508971e+01	   1.1087982985189893e+02	   3.1003000687449485e+03	
   4.3221712289251591e+04	   2.8204061510123785e+02	  -4.0237426039037025e+04	  -1.5366071280043892e+04	   1.7369885833015758e+01	   1.1087983666358978e+02	   3.1003015859442157e+03	
   4.3221683263680010e+04	   2.8644318974771511e+02	  -4.0233449123713028e+04	  -1.5376251445975358e+04	   1.7369815234624738e+01	   1.1087984347627844e+02	   3.1003019445744362e+03	
   4.3221654916232146e+04	   2.9059424809268916e+02	  -4.0229988633350498e+04	  -1.5385091936621691e+04	   1.7369744639751492e+01	   1.1087985029043924e+02	   3.1003015355343414e+03	
   4.3221627454683861e+04	   2.9373970905532474e+02	  -4.0227036579357700e+04	  -1.5392623550470609e+04	   1.7369674048277979e+01	   1.1087985710519584e+02	   3.1003006522452874e+03	
   4.3221600796493090e+04	   2.9539198085326797e+02	  -4.0224690978425875e+04	  -1.5398602495474690e+04	   1.7369603459750611e+01	   1.1087986391878937e+02	   3.1002995543651546e+03	
   4.3221574822020564e+04	   2.9547381450427361e+02	  -4.0223077852436851e+04	  -1.5402711048384519e+04	   1.7369532873998374e+01	   1.1087987072936043e+02	   3.1002982552689091e+03	
   4.3221549620981619e+04	   2.9427569810619195e+02	  -4.0222248264196045e+04	  -1.5404822272451818e+04	   1.7369462291191102e+01	   1.1087987753562814e+02	   3.1002973207400328e+03	
   4.3221525256703622e+04	   2.9229805987382247e+02	  -4.0222103742372856e+04	  -1.5405186390437068e+04	   1.7369391711808493e+01	   1.1087988433737192e+02	   3.1002974710172184e+03	
   4.3221501280886572e+04	   2.9005204685934046e+02	  -4.0222403111866828e+04	  -1.5404410127006600e+04	   1.7369321136245595e+01	   1.1087989113562743e+02	   3.1002994992585632e+03	
   4.3221476644469454e+04	   2.8794942087661752e+02	  -4.0222830774194874e+04	  -1.5403280041659602e+04	   1.7369250564426352e+01	   1.1087989793231094e+02	   3.1003032152452270e+03	
   4.3221449929467351e+04	   2.8629035490210890e+02	  -4.0223095405557615e+04	  -1.5402519489374919e+04	   1.7369179995652207e+01	   1.1087990472955063e+02	   3.1003070492418806e+03	
   4.3221420294964395e+04	   2.8532258744874287e+02	  -4.0222998364330386e+04	  -1.5402624346012806e+04	   1.7369109428909859e+01	   1.1087991152895704e+02	   3.1003079866769654e+03	
   4.3221387978190891e+04	   2.8525552119618334e+02	  -4.0222456350230270e+04	  -1.5403815636253516e+04	   1.7369038863304862e+01	   1.1087991833107172e+02	   3.1003029123230340e+03	
